"","project","language","article","access","agent","granularity","date","views"
"1","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-01,15
"2","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-02,10
"3","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-03,19
"4","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-04,10
"5","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-05,11
"6","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-06,8
"7","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-07,23
"8","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-08,10
"9","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-09,12
"10","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-10,18
"11","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-11,30
"12","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-12,19
"13","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-13,22
"14","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-14,20
"15","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-15,21
"16","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-16,16
"17","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-17,22
"18","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-18,25
"19","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-19,21
"20","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-20,25
"21","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-21,24
"22","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-22,24
"23","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-23,10
"24","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-24,17
"25","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-25,17
"26","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-26,34
"27","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-27,23
"28","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-28,21
"29","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-29,13
"30","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-30,14
"31","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-07-31,20
"32","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-01,21
"33","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-02,17
"34","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-03,9
"35","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-04,15
"36","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-05,28
"37","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-06,24
"38","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-07,28
"39","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-08,31
"40","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-09,34
"41","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-10,18
"42","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-11,16
"43","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-12,20
"44","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-13,29
"45","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-14,39
"46","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-15,45
"47","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-16,31
"48","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-17,39
"49","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-18,34
"50","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-19,43
"51","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-20,33
"52","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-21,62
"53","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-22,140
"54","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-23,77
"55","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-24,47
"56","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-25,54
"57","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-26,42
"58","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-27,15
"59","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-28,31
"60","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-29,19
"61","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-30,31
"62","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-08-31,26
"63","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-01,35
"64","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-02,50
"65","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-03,26
"66","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-04,29
"67","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-05,14
"68","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-06,21
"69","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-07,37
"70","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-08,50
"71","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-09,29
"72","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-10,23
"73","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-11,20
"74","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-12,13
"75","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-13,22
"76","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-14,17
"77","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-15,14
"78","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-16,30
"79","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-17,15
"80","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-18,25
"81","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-19,25
"82","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-20,36
"83","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-21,30
"84","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-22,31
"85","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-23,24
"86","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-24,31
"87","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-25,24
"88","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-26,38
"89","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-27,37
"90","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-28,36
"91","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-29,16
"92","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-09-30,61
"93","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-01,58
"94","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-02,26
"95","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-03,28
"96","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-04,16
"97","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-05,29
"98","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-06,21
"99","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-07,24
"100","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-08,20
"101","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-09,19
"102","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-10,21
"103","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-11,27
"104","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-12,20
"105","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-13,14
"106","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-14,15
"107","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-15,19
"108","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-16,25
"109","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-17,16
"110","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-18,13
"111","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-19,22
"112","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-20,19
"113","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-21,22
"114","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-22,13
"115","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-23,16
"116","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-24,18
"117","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-25,21
"118","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-26,24
"119","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-27,24
"120","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-28,18
"121","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-29,14
"122","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-30,16
"123","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-10-31,27
"124","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-01,16
"125","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-02,8
"126","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-03,18
"127","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-04,10
"128","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-05,20
"129","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-06,10
"130","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-07,18
"131","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-08,10
"132","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-09,3
"133","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-10,7
"134","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-11,8
"135","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-12,13
"136","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-13,15
