"","project","language","article","access","agent","granularity","date","views"
"1","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-01,1492
"2","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-02,1381
"3","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-03,1417
"4","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-04,1777
"5","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-05,1571
"6","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-06,1528
"7","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-07,1507
"8","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-08,1500
"9","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-09,1831
"10","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-10,1879
"11","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-11,1599
"12","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-12,1514
"13","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-13,2016
"14","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-14,1851
"15","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-15,1582
"16","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-16,1752
"17","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-17,1714
"18","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-18,1917
"19","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-19,2014
"20","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-20,1839
"21","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-21,1891
"22","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-22,1802
"23","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-23,1943
"24","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-24,1812
"25","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-25,1728
"26","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-26,1963
"27","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-27,2230
"28","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-28,2110
"29","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-29,1945
"30","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-30,2038
"31","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-07-31,1885
"32","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-01,1687
"33","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-02,1606
"34","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-03,1475
"35","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-04,1769
"36","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-05,2237
"37","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-06,2035
"38","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-07,2066
"39","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-08,2226
"40","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-09,2275
"41","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-10,1862
"42","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-11,1819
"43","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-12,1720
"44","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-13,2033
"45","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-14,2561
"46","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-15,2851
"47","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-16,2907
"48","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-17,2589
"49","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-18,2253
"50","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-19,2642
"51","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-20,2893
"52","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-21,4078
"53","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-22,5138
"54","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-23,3626
"55","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-24,3256
"56","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-25,2770
"57","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-26,2253
"58","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-27,2141
"59","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-28,2820
"60","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-29,2098
"61","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-30,2134
"62","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-08-31,1904
"63","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-01,2164
"64","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-02,2306
"65","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-03,2319
"66","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-04,2004
"67","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-05,1756
"68","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-06,2063
"69","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-07,2786
"70","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-08,2414
"71","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-09,1987
"72","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-10,1944
"73","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-11,1846
"74","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-12,1489
"75","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-13,1902
"76","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-14,1893
"77","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-15,1942
"78","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-16,1774
"79","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-17,1651
"80","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-18,1742
"81","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-19,1671
"82","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-20,1623
"83","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-21,1569
"84","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-22,1924
"85","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-23,1759
"86","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-24,1482
"87","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-25,1687
"88","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-26,1653
"89","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-27,1692
"90","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-28,1780
"91","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-29,1897
"92","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-09-30,2580
